"scenario","diagnostic","model_specification","n_attempted","n_successful","flagging_rate","ci_low","ci_high"
"Count errors","DHARMa uniformity","Correct link",3000,3000,0.000333333333333333,5.88439418715664e-05,0.00188581888430418
"Count errors","DHARMa dispersion","Correct link",3000,3000,0.052,0.044612373435453,0.060533475022439
"Count errors","DHARMa residual quantiles over fitted values","Correct link",3000,3000,0.031,0.0253728166693518,0.037826743435004
"Count errors","DHARMa residual quantiles over focal predictor","Correct link",3000,3000,0.0403333333333333,0.0338610506977888,0.0479813042303608
"Count errors","Pregibon-style added-term link check","Correct link",3000,3000,0.0536666666666667,0.0461582190295866,0.0623166999325544
"Count errors","DHARMa uniformity","Wrong link",3000,2798,0.00929235167977126,0.00634926616387744,0.0135810045675001
"Count errors","DHARMa dispersion","Wrong link",3000,2798,0.226590421729807,0.211460027809455,0.242470530901036
"Count errors","DHARMa residual quantiles over fitted values","Wrong link",3000,2798,0.632594710507505,0.614561022267943,0.650264811350891
"Count errors","DHARMa residual quantiles over focal predictor","Wrong link",3000,2798,0.905646890636169,0.894252547721863,0.915928910923357
"Count errors","Pregibon-style added-term link check","Wrong link",3000,2796,0.992846924177396,0.988976783794495,0.995364665724879
"Chance-floor accuracy","DHARMa uniformity","Correct link",3000,3000,0.000333333333333333,5.88439418715664e-05,0.00188581888430418
"Chance-floor accuracy","DHARMa dispersion","Correct link",3000,3000,0.0133333333333333,0.0098070543501472,0.0181043584091701
"Chance-floor accuracy","DHARMa residual quantiles over fitted values","Correct link",3000,3000,0.011,0.00784333816189211,0.0154073758914767
"Chance-floor accuracy","DHARMa residual quantiles over focal predictor","Correct link",3000,3000,0.019,0.0146942684174919,0.0245359840562717
"Chance-floor accuracy","Pregibon-style added-term link check","Correct link",3000,3000,0.0406666666666667,0.0341663032710645,0.0483418657579349
"Chance-floor accuracy","DHARMa uniformity","Wrong link",3000,3000,0.000333333333333333,5.88439418715664e-05,0.00188581888430418
"Chance-floor accuracy","DHARMa dispersion","Wrong link",3000,3000,0.014,0.0103742253986839,0.018868815562333
"Chance-floor accuracy","DHARMa residual quantiles over fitted values","Wrong link",3000,3000,0.0193333333333333,0.0149857495904204,0.024910316984193
"Chance-floor accuracy","DHARMa residual quantiles over focal predictor","Wrong link",3000,3000,0.0603333333333333,0.0523622424560336,0.069428958523103
"Chance-floor accuracy","Pregibon-style added-term link check","Wrong link",3000,3000,0.287666666666667,0.27174782737222,0.304128590386468
"Binary repeated trials","DHARMa uniformity","Correct link",3000,3000,0.0416666666666667,0.0350828196825207,0.0494227916490281
