"table_part","scenario","age","group","linear_predictor","expected_accuracy","expected_correct_out_of_k_trials","contrast","value_probability_points","value_correct_out_of_k_trials","link_scale_value"
"implied_values","Lower performance",6,"Group 0",-2,0.559601461011059,11.1920292202212,NA,NA,NA,NA
"implied_values","Lower performance",8,"Group 0",-0.8,0.655012759436194,13.1002551887239,NA,NA,NA,NA
"implied_values","Lower performance",10,"Group 0",0.4,0.799343830056226,15.9868766011245,NA,NA,NA,NA
"implied_values","Lower performance",6,"Group 1",-2.9,0.526076781539209,10.5215356307842,NA,NA,NA,NA
"implied_values","Lower performance",8,"Group 1",-1.7,0.577232632541767,11.5446526508353,NA,NA,NA,NA
"implied_values","Lower performance",10,"Group 1",-0.5,0.688770334399073,13.7754066879815,NA,NA,NA,NA
"implied_values","Middle performance",6,"Group 0",-1.2,0.615737608250491,12.3147521650098,NA,NA,NA,NA
"implied_values","Middle performance",8,"Group 0",0,0.75,15,NA,NA,NA,NA
"implied_values","Middle performance",10,"Group 0",1.2,0.884262391749509,17.6852478349902,NA,NA,NA,NA
"implied_values","Middle performance",6,"Group 1",-2.1,0.554548410597806,11.0909682119561,NA,NA,NA,NA
"implied_values","Middle performance",8,"Group 1",-0.9,0.644525248687498,12.89050497375,NA,NA,NA,NA
"implied_values","Middle performance",10,"Group 1",0.3,0.78722125840583,15.7444251681166,NA,NA,NA,NA
"implied_values","Higher performance",6,"Group 0",-0.4,0.700656169943774,14.0131233988755,NA,NA,NA,NA
"implied_values","Higher performance",8,"Group 0",0.8,0.844987240563806,16.8997448112761,NA,NA,NA,NA
"implied_values","Higher performance",10,"Group 0",2,0.940398538988941,18.8079707797788,NA,NA,NA,NA
"implied_values","Higher performance",6,"Group 1",-1.3,0.607082508478721,12.1416501695744,NA,NA,NA,NA
"implied_values","Higher performance",8,"Group 1",-0.1,0.73751040626053,14.7502081252106,NA,NA,NA,NA
"implied_values","Higher performance",10,"Group 1",1.1,0.875130052797559,17.5026010559512,NA,NA,NA,NA
"derived_contrasts","Lower performance",NA,NA,NA,NA,NA,"Group difference at youngest age: Group 1 minus Group 0",-0.0335246794718499,-0.670493589436998,NA
"derived_contrasts","Lower performance",NA,NA,NA,NA,NA,"Group difference at oldest age: Group 1 minus Group 0",-0.110573495657153,-2.21146991314306,NA
"derived_contrasts","Lower performance",NA,NA,NA,NA,NA,"Age-related change in Group 0: oldest minus youngest",0.239742369045167,4.79484738090334,NA
"derived_contrasts","Lower performance",NA,NA,NA,NA,NA,"Age-related change in Group 1: oldest minus youngest",0.162693552859864,3.25387105719728,NA
"derived_contrasts","Lower performance",NA,NA,NA,NA,NA,"Change in group difference from youngest to oldest age",-0.0770488161853033,-1.54097632370607,NA
"derived_contrasts","Lower performance",NA,NA,NA,NA,NA,"Generating link-scale age-by-group product term",NA,NA,0
"derived_contrasts","Middle performance",NA,NA,NA,NA,NA,"Group difference at youngest age: Group 1 minus Group 0",-0.0611891976526847,-1.22378395305369,NA
"derived_contrasts","Middle performance",NA,NA,NA,NA,NA,"Group difference at oldest age: Group 1 minus Group 0",-0.0970411333436791,-1.94082266687358,NA
"derived_contrasts","Middle performance",NA,NA,NA,NA,NA,"Age-related change in Group 0: oldest minus youngest",0.268524783499018,5.37049566998035,NA
"derived_contrasts","Middle performance",NA,NA,NA,NA,NA,"Age-related change in Group 1: oldest minus youngest",0.232672847808023,4.65345695616046,NA
"derived_contrasts","Middle performance",NA,NA,NA,NA,NA,"Change in group difference from youngest to oldest age",-0.0358519356909944,-0.717038713819889,NA
"derived_contrasts","Middle performance",NA,NA,NA,NA,NA,"Generating link-scale age-by-group product term",NA,NA,0
"derived_contrasts","Higher performance",NA,NA,NA,NA,NA,"Group difference at youngest age: Group 1 minus Group 0",-0.0935736614650533,-1.87147322930107,NA
"derived_contrasts","Higher performance",NA,NA,NA,NA,NA,"Group difference at oldest age: Group 1 minus Group 0",-0.0652684861913823,-1.30536972382765,NA
"derived_contrasts","Higher performance",NA,NA,NA,NA,NA,"Age-related change in Group 0: oldest minus youngest",0.239742369045167,4.79484738090334,NA
"derived_contrasts","Higher performance",NA,NA,NA,NA,NA,"Age-related change in Group 1: oldest minus youngest",0.268047544318838,5.36095088637676,NA
"derived_contrasts","Higher performance",NA,NA,NA,NA,NA,"Change in group difference from youngest to oldest age",0.028305175273671,0.566103505473421,NA
"derived_contrasts","Higher performance",NA,NA,NA,NA,NA,"Generating link-scale age-by-group product term",NA,NA,0
