"scenario","paper_anchor","outcome_family","true_link_function","fitted_link_function","true_model_label","fitted_model_label","quantitative_description","variability_summary","quantity","diagnostic_family","n_successful_fits","n_significant","rate","ci_low","ci_high"
"Count errors","Simple count example figure","Poisson count","log","identity","Poisson log","Poisson identity","Simple count example figure coefficients: log(E[y]) = 2.2 + -0.55 * (age - 6) + 0.45 * group; no age-by-group product term.","Poisson sampling; variance equals mean.","Pseudo-interaction detection","Interaction test",2798,2682,0.958541815582559,0.950505038086934,0.96532122750057
"Count errors","Simple count example figure","Poisson count","log","identity","Poisson log","Poisson identity","Simple count example figure coefficients: log(E[y]) = 2.2 + -0.55 * (age - 6) + 0.45 * group; no age-by-group product term.","Poisson sampling; variance equals mean.","DHARMa uniformity","DHARMa",2798,26,0.00929235167977126,0.00634926616387744,0.0135810045675001
"Count errors","Simple count example figure","Poisson count","log","identity","Poisson log","Poisson identity","Simple count example figure coefficients: log(E[y]) = 2.2 + -0.55 * (age - 6) + 0.45 * group; no age-by-group product term.","Poisson sampling; variance equals mean.","DHARMa dispersion","DHARMa",2798,634,0.226590421729807,0.211460027809455,0.242470530901036
"Count errors","Simple count example figure","Poisson count","log","identity","Poisson log","Poisson identity","Simple count example figure coefficients: log(E[y]) = 2.2 + -0.55 * (age - 6) + 0.45 * group; no age-by-group product term.","Poisson sampling; variance equals mean.","DHARMa residual quantiles over fitted values","DHARMa",2798,1770,0.632594710507505,0.614561022267943,0.650264811350891
"Count errors","Simple count example figure","Poisson count","log","identity","Poisson log","Poisson identity","Simple count example figure coefficients: log(E[y]) = 2.2 + -0.55 * (age - 6) + 0.45 * group; no age-by-group product term.","Poisson sampling; variance equals mean.","DHARMa residual quantiles over focal predictor","DHARMa",2798,2534,0.905646890636169,0.894252547721863,0.915928910923357
"Count errors","Simple count example figure","Poisson count","log","identity","Poisson log","Poisson identity","Simple count example figure coefficients: log(E[y]) = 2.2 + -0.55 * (age - 6) + 0.45 * group; no age-by-group product term.","Poisson sampling; variance equals mean.","DHARMa residual distribution across design cells","DHARMa",0,0,NA,NA,NA
"Count errors","Simple count example figure","Poisson count","log","identity","Poisson log","Poisson identity","Simple count example figure coefficients: log(E[y]) = 2.2 + -0.55 * (age - 6) + 0.45 * group; no age-by-group product term.","Poisson sampling; variance equals mean.","Pregibon-style added-term link check, secondary","Pregibon-style link check",2796,2776,0.992846924177396,0.988976783794495,0.995364665724879
"Count errors","Simple count example figure","Poisson count","log","identity","Poisson log","Poisson identity","Simple count example figure coefficients: log(E[y]) = 2.2 + -0.55 * (age - 6) + 0.45 * group; no age-by-group product term.","Poisson sampling; variance equals mean.","AIC same interaction formula favors true link","AIC link comparison",2798,2772,0.990707648320229,0.9864189954325,0.993650733836123
"Count errors","Simple count example figure","Poisson count","log","identity","Poisson log","Poisson identity","Simple count example figure coefficients: log(E[y]) = 2.2 + -0.55 * (age - 6) + 0.45 * group; no age-by-group product term.","Poisson sampling; variance equals mean.","AIC same interaction formula favors fitted link","AIC link comparison",2798,26,0.00929235167977126,0.00634926616387744,0.0135810045675001
"Chance-floor accuracy","Simulation 1, lower-performance forced-choice scenario","Binomial accuracy","chance-corrected logit","standard logit","chance-corrected binomial logit","standard binomial logit","Simulation 1 lower-performance coefficients: eta = -0.8 + 0.6 * (age - 8) + -0.9 * group; p = 0.5 + (1 - 0.5) * logistic(eta); no age-by-group product term.","Binomial sampling with 20 trials per participant.","Pseudo-interaction detection","Interaction test",3000,1733,0.577666666666667,0.559903597705362,0.595231087792638
"Chance-floor accuracy","Simulation 1, lower-performance forced-choice scenario","Binomial accuracy","chance-corrected logit","standard logit","chance-corrected binomial logit","standard binomial logit","Simulation 1 lower-performance coefficients: eta = -0.8 + 0.6 * (age - 8) + -0.9 * group; p = 0.5 + (1 - 0.5) * logistic(eta); no age-by-group product term.","Binomial sampling with 20 trials per participant.","DHARMa uniformity","DHARMa",3000,1,0.000333333333333333,5.88439418715664e-05,0.00188581888430418
"Chance-floor accuracy","Simulation 1, lower-performance forced-choice scenario","Binomial accuracy","chance-corrected logit","standard logit","chance-corrected binomial logit","standard binomial logit","Simulation 1 lower-performance coefficients: eta = -0.8 + 0.6 * (age - 8) + -0.9 * group; p = 0.5 + (1 - 0.5) * logistic(eta); no age-by-group product term.","Binomial sampling with 20 trials per participant.","DHARMa dispersion","DHARMa",3000,42,0.014,0.0103742253986839,0.018868815562333
"Chance-floor accuracy","Simulation 1, lower-performance forced-choice scenario","Binomial accuracy","chance-corrected logit","standard logit","chance-corrected binomial logit","standard binomial logit","Simulation 1 lower-performance coefficients: eta = -0.8 + 0.6 * (age - 8) + -0.9 * group; p = 0.5 + (1 - 0.5) * logistic(eta); no age-by-group product term.","Binomial sampling with 20 trials per participant.","DHARMa residual quantiles over fitted values","DHARMa",3000,58,0.0193333333333333,0.0149857495904204,0.024910316984193
