"scenario","model","n_common_convergence_replications","n_successful_fits","n_rejections","rejection_rate","ci_low","ci_high","median_interaction_coef","mean_interaction_coef","sd_interaction_coef","q25_interaction_coef","q75_interaction_coef","q025_interaction_coef","q975_interaction_coef","median_abs_coef_significant","median_abs_coef_nonsignificant","median_change_in_group_difference_response_scale","median_change_in_group_difference_outcome_units","mean_change_in_group_difference_outcome_units","sd_change_in_group_difference_outcome_units","rate_type"
"Lower performance","Gaussian identity",1667,1667,685,0.410917816436713,0.387530762211542,0.434714491261144,-0.0204255179986973,-0.0207676780502812,0.0116093898663756,-0.028623787428058,-0.0129723208407848,-0.043653350366961,0.00156886446139841,0.030466400359803,0.0145913896460175,-0.0817020719947894,-1.63404143989579,-1.66141424402249,0.928751189310051,"Pseudo-interaction detection rate"
"Lower performance","Standard binomial logit",1667,1667,950,0.569886022795441,0.545985593609801,0.593465099793782,-0.110254879373855,-0.112565959203444,0.0518648730780617,-0.147764181333002,-0.0766768479412347,-0.215417083459666,-0.0154521769570654,0.141773477765127,0.0710442971851434,-0.0803409976779614,-1.60681995355923,-1.64235612763024,0.916180830269175,"Pseudo-interaction detection rate"
"Lower performance","Standard binomial probit",1667,1667,901,0.540491901619676,0.516502820539892,0.564294791517978,-0.0652584700422661,-0.0667860375390411,0.0318040973063375,-0.0882518001214407,-0.0452900127693327,-0.129607318212164,-0.00710426590439887,0.0863227213686548,0.0430076412215762,-0.0806732727581403,-1.61346545516281,-1.65097115588938,0.919069511336105,"Pseudo-interaction detection rate"
"Lower performance","Chance-corrected binomial logit",1667,1667,79,0.0473905218956209,0.0381902411292787,0.0586720063127523,0.00592594845744216,0.00991406875725481,0.173618347419273,-0.107888689027191,0.118815531870994,-0.321343909215674,0.375924431025429,0.355555610459227,0.106867053916287,-0.0731347453500608,-1.46269490700122,-1.47302784388533,0.850450074736972,"Nominal rejection rate"
"Middle performance","Gaussian identity",3000,3000,469,0.156333333333333,0.143778038311493,0.169767623712381,-0.0103993548971715,-0.0104083033180652,0.0112092414727651,-0.0178780275793551,-0.00268766294373615,-0.032385816163644,0.0115096351623343,0.0264126638437897,0.00941673386434848,-0.0415974195886859,-0.831948391773718,-0.832664265445216,0.896739317821207,"Pseudo-interaction detection rate"
"Middle performance","Standard binomial logit",3000,3000,1669,0.556333333333333,0.538494496201,0.574028086842613,-0.118677398277006,-0.118529572395532,0.0579415086968919,-0.157312149100599,-0.0784715112782733,-0.230371443759238,-0.00410393729952276,0.152887726263149,0.0730014417180089,-0.0418979974831752,-0.837959949663504,-0.838419416597709,0.886648195823849,"Pseudo-interaction detection rate"
"Middle performance","Standard binomial probit",3000,3000,1411,0.470333333333333,0.452522236355008,0.488220308669361,-0.0634201313086901,-0.0632870861350273,0.0344447795328533,-0.0865801893124634,-0.0395524239994094,-0.129322057035026,0.00513970643135638,0.0880851273904001,0.0411126566472032,-0.0411849826738994,-0.823699653477988,-0.826210320554668,0.885260003243394,"Pseudo-interaction detection rate"
"Middle performance","Chance-corrected binomial logit",3000,3000,156,0.052,0.044612373435453,0.060533475022439,-0.00113927062940241,0.00264583175212117,0.119555447100903,-0.0772491397937859,0.083331130764175,-0.228739665480087,0.240121940486946,0.263040651503732,0.075716092862675,-0.0369464995697304,-0.738929991394608,-0.71816417407422,0.771475362790315,"Nominal rejection rate"
"Higher performance","Gaussian identity",3000,3000,395,0.131666666666667,0.120036743766038,0.144238674794952,0.00827070004875601,0.00818953129093748,0.00986439031252759,0.00165622329692089,0.0147424104504189,-0.0112190350459847,0.028013590049293,0.0231165147868476,0.00786842025922784,0.033082800195024,0.661656003900479,0.655162503274999,0.789151225002207,"Pseudo-interaction detection rate"
"Higher performance","Standard binomial logit",3000,3000,969,0.323,0.306502171139421,0.339950541309345,-0.0984850518102515,-0.100041392094699,0.065951816660286,-0.142739748673199,-0.0555963302052022,-0.231991339188621,0.0286165113819113,0.166818904408745,0.0730890663500306,0.0288905814864209,0.577811629728419,0.570500864291898,0.793413970729654,"Pseudo-interaction detection rate"
"Higher performance","Standard binomial probit",3000,3000,592,0.197333333333333,0.183482759249881,0.211958037178516,-0.0396206068562362,-0.0401942541085145,0.0370850072953027,-0.0643569908197612,-0.0154506341738761,-0.114471439638077,0.0329052577686939,0.0875610110769023,0.0331330375936668,0.0314797772597892,0.629595545195784,0.621414251751162,0.780196306053619,"Pseudo-interaction detection rate"
"Higher performance","Chance-corrected binomial logit",3000,3000,171,0.057,0.0492562740290169,0.0658767859416219,-0.00110418640148649,-0.00158945591126759,0.0983521371509511,-0.0654070063866697,0.063711399648159,-0.20051629642937,0.197158634588868,0.220206538447611,0.0607450221634355,0.0272356609606191,0.544713219212383,0.550171869029279,0.68658386964648,"Nominal rejection rate"
