"scenario","model","n_successful_fits","n_rejections","rejection_rate","ci_low","ci_high","median_interaction_coef","mean_interaction_coef","sd_interaction_coef","q25_interaction_coef","q75_interaction_coef","q025_interaction_coef","q975_interaction_coef","median_abs_coef_significant","median_abs_coef_nonsignificant","median_change_in_group_difference_response_scale","median_change_in_group_difference_outcome_units","mean_change_in_group_difference_outcome_units","sd_change_in_group_difference_outcome_units","rate_type"
"Lower performance","Gaussian identity",3000,1301,0.433666666666667,0.416028847586041,0.451474146344852,-0.0210275737737949,-0.0214734969038208,0.0118173738037173,-0.0295559462188965,-0.0135352651005476,-0.04471157171373,0.000992826665657225,0.030887238333087,0.0146994260577254,-0.0841102950951798,-1.6822059019036,-1.71787975230567,0.945389904297381,"Pseudo-interaction detection rate"
"Lower performance","Standard binomial logit",3000,1742,0.580666666666667,0.562916942439224,0.598210069966423,-0.11251566947204,-0.114097472620809,0.052415348637245,-0.149386918556665,-0.0778655590677395,-0.21582230307833,-0.0162528441199732,0.143587687062552,0.0710723244695359,-0.0833240915604051,-1.6664818312081,-1.6955797091346,0.932571558592293,"Pseudo-interaction detection rate"
"Lower performance","Standard binomial probit",3000,1661,0.553666666666667,0.53582069940133,0.571375370835485,-0.067062869525495,-0.0679359404476721,0.0321822427534752,-0.0895283172959044,-0.0459615546070011,-0.130428531633694,-0.00733892623836106,0.0871915085738859,0.0430150376440939,-0.0838303058963826,-1.67660611792765,-1.70530812802905,0.935481317375185,"Pseudo-interaction detection rate"
"Lower performance","Chance-corrected binomial logit",1667,79,0.0473905218956209,0.0381902411292787,0.0586720063127523,0.183024026521525,18.2069015733175,31.0900854737722,-0.0397331922909036,21.5477143041292,-0.544049241201129,103.594284094591,0.355555610459227,0.106867053916287,-0.0570068731068078,-1.14013746213616,-1.64754982846636,2.08613504564838,"Nominal rejection rate"
"Middle performance","Gaussian identity",3000,469,0.156333333333333,0.143778038311493,0.169767623712381,-0.0103993548971715,-0.0104083033180652,0.0112092414727651,-0.0178780275793551,-0.00268766294373615,-0.032385816163644,0.0115096351623343,0.0264126638437897,0.00941673386434848,-0.0415974195886859,-0.831948391773718,-0.832664265445216,0.896739317821207,"Pseudo-interaction detection rate"
"Middle performance","Standard binomial logit",3000,1669,0.556333333333333,0.538494496201,0.574028086842613,-0.118677398277006,-0.118529572395532,0.0579415086968919,-0.157312149100599,-0.0784715112782733,-0.230371443759238,-0.00410393729952276,0.152887726263149,0.0730014417180089,-0.0418979974831752,-0.837959949663504,-0.838419416597709,0.886648195823849,"Pseudo-interaction detection rate"
"Middle performance","Standard binomial probit",3000,1411,0.470333333333333,0.452522236355008,0.488220308669361,-0.0634201313086901,-0.0632870861350273,0.0344447795328533,-0.0865801893124634,-0.0395524239994094,-0.129322057035026,0.00513970643135638,0.0880851273904001,0.0411126566472032,-0.0411849826738994,-0.823699653477988,-0.826210320554668,0.885260003243394,"Pseudo-interaction detection rate"
"Middle performance","Chance-corrected binomial logit",3000,156,0.052,0.044612373435453,0.060533475022439,-0.00113927062940241,0.00264583175212117,0.119555447100903,-0.0772491397937859,0.083331130764175,-0.228739665480087,0.240121940486946,0.263040651503732,0.075716092862675,-0.0369464995697304,-0.738929991394608,-0.71816417407422,0.771475362790315,"Nominal rejection rate"
"Higher performance","Gaussian identity",3000,395,0.131666666666667,0.120036743766038,0.144238674794952,0.00827070004875601,0.00818953129093748,0.00986439031252759,0.00165622329692089,0.0147424104504189,-0.0112190350459847,0.028013590049293,0.0231165147868476,0.00786842025922784,0.033082800195024,0.661656003900479,0.655162503274999,0.789151225002207,"Pseudo-interaction detection rate"
"Higher performance","Standard binomial logit",3000,969,0.323,0.306502171139421,0.339950541309345,-0.0984850518102515,-0.100041392094699,0.065951816660286,-0.142739748673199,-0.0555963302052022,-0.231991339188621,0.0286165113819113,0.166818904408745,0.0730890663500306,0.0288905814864209,0.577811629728419,0.570500864291898,0.793413970729654,"Pseudo-interaction detection rate"
"Higher performance","Standard binomial probit",3000,592,0.197333333333333,0.183482759249881,0.211958037178516,-0.0396206068562362,-0.0401942541085145,0.0370850072953027,-0.0643569908197612,-0.0154506341738761,-0.114471439638077,0.0329052577686939,0.0875610110769023,0.0331330375936668,0.0314797772597892,0.629595545195784,0.621414251751162,0.780196306053619,"Pseudo-interaction detection rate"
"Higher performance","Chance-corrected binomial logit",3000,171,0.057,0.0492562740290169,0.0658767859416219,-0.00110418640148649,-0.00158945591126759,0.0983521371509511,-0.0654070063866697,0.063711399648159,-0.20051629642937,0.197158634588868,0.220206538447611,0.0607450221634355,0.0272356609606191,0.544713219212383,0.550171869029279,0.68658386964648,"Nominal rejection rate"
